IP:PORT, LOSS, DELAY
162.159.195.153:1180,0.00%,160 ms
162.159.195.136:946,0.00%,160 ms
162.159.195.96:939,0.00%,161 ms
162.159.195.33:854,0.00%,161 ms
162.159.195.211:908,0.00%,162 ms
162.159.195.225:4500,0.00%,162 ms
162.159.195.33:3581,0.00%,162 ms
162.159.195.143:3138,0.00%,162 ms
162.159.195.222:4500,0.00%,162 ms
162.159.195.235:891,0.00%,162 ms
162.159.195.189:4233,0.00%,162 ms
162.159.195.96:945,0.00%,162 ms
162.159.195.189:1843,0.00%,162 ms
162.159.195.153:934,0.00%,163 ms
162.159.195.209:908,0.00%,163 ms
162.159.195.249:1002,0.00%,163 ms
162.159.195.178:7152,0.00%,164 ms
162.159.195.193:1843,0.00%,164 ms
162.159.195.178:1843,0.00%,166 ms
162.159.195.219:908,0.00%,166 ms
162.159.195.10:854,0.00%,166 ms
162.159.195.140:3138,0.00%,166 ms
162.159.195.123:1018,0.00%,166 ms
162.159.195.201:908,0.00%,166 ms
162.159.195.28:3581,0.00%,167 ms
162.159.195.160:1180,0.00%,167 ms
162.159.195.211:4500,0.00%,167 ms
162.159.195.159:934,0.00%,167 ms
162.159.195.57:1010,0.00%,167 ms
162.159.195.192:4233,0.00%,167 ms
162.159.195.119:1387,0.00%,167 ms
162.159.195.37:854,0.00%,167 ms
162.159.195.138:3138,0.00%,167 ms
162.159.195.17:854,0.00%,167 ms
162.159.195.151:1180,0.00%,167 ms
162.159.195.138:946,0.00%,167 ms
162.159.195.7:3581,0.00%,168 ms
162.159.195.237:891,0.00%,168 ms
162.159.195.119:1018,0.00%,168 ms
162.159.195.162:934,0.00%,168 ms
162.159.195.121:1018,0.00%,168 ms
162.159.195.157:934,0.00%,168 ms
162.159.195.1:3581,0.00%,168 ms
162.159.195.245:891,0.00%,168 ms
162.159.195.34:854,0.00%,168 ms
162.159.195.196:1843,0.00%,168 ms
162.159.195.172:7152,0.00%,168 ms
162.159.195.15:854,0.00%,168 ms
162.159.195.24:854,0.00%,168 ms
162.159.195.244:1002,0.00%,168 ms
162.159.195.177:1843,0.00%,168 ms
162.159.195.139:946,0.00%,168 ms
162.159.195.154:1180,0.00%,168 ms
162.159.195.165:934,0.00%,168 ms
162.159.195.136:3138,0.00%,168 ms
162.159.195.55:1074,0.00%,168 ms
162.159.195.179:7152,0.00%,168 ms
162.159.195.223:908,0.00%,168 ms
162.159.195.220:4500,0.00%,168 ms
162.159.195.177:7152,0.00%,168 ms
162.159.195.239:891,0.00%,168 ms
162.159.195.2:3581,0.00%,168 ms
162.159.195.0:854,0.00%,168 ms
162.159.195.1:854,0.00%,168 ms
162.159.195.126:1387,0.00%,169 ms
162.159.195.164:1180,0.00%,169 ms
162.159.195.195:1843,0.00%,169 ms
162.159.195.197:1843,0.00%,169 ms
162.159.195.128:946,0.00%,169 ms
162.159.195.123:1387,0.00%,169 ms
162.159.195.159:1180,0.00%,169 ms
162.159.195.104:939,0.00%,169 ms
162.159.195.156:934,0.00%,169 ms
162.159.195.170:1843,0.00%,169 ms
162.159.195.127:1018,0.00%,169 ms
162.159.195.187:4233,0.00%,169 ms
162.159.195.49:2371,0.00%,169 ms
162.159.195.166:934,0.00%,169 ms
162.159.195.181:1843,0.00%,169 ms
162.159.195.186:1843,0.00%,169 ms
162.159.195.140:946,0.00%,169 ms
162.159.195.124:1387,0.00%,169 ms
162.159.195.88:8886,0.00%,169 ms
162.159.195.171:7152,0.00%,169 ms
162.159.195.243:891,0.00%,169 ms
162.159.195.93:939,0.00%,169 ms
162.159.195.160:934,0.00%,169 ms
162.159.195.169:7152,0.00%,169 ms
162.159.195.188:1843,0.00%,169 ms
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
